id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,speechiness,instrumentalness,liveness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.08,0.02,0.12
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.04,0.65,0.09
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.07,0.05,0.34
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.03,0.78,0.07
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.10,0.01,0.18
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.02,0.91,0.06
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.05,0.55,0.22
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.04,0.72,0.11
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.03,0.82,0.08
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.07,0.04,0.16
11,Velvet Nocturne,Aria Solis,classical,dreamy,0.22,88,0.73,0.30,0.95,0.02,0.94,0.10
12,Block Party Anthem,Capo Vex,hip-hop,energetic,0.85,96,0.72,0.87,0.08,0.31,0.03,0.24
13,Shattered Crown,Dread Circuit,metal,angry,0.97,168,0.31,0.70,0.04,0.06,0.08,0.42
14,Golden Hour,Soleil Ray,r&b,romantic,0.58,94,0.82,0.74,0.45,0.12,0.06,0.14
15,Empty Porch,Wren Hollow,folk,sad,0.25,68,0.34,0.38,0.91,0.09,0.48,0.31
16,Faded Arcade,Prism Drift,electronic,nostalgic,0.72,128,0.62,0.76,0.12,0.05,0.61,0.13
17,Island Pulse,Zion Waves,reggae,uplifting,0.65,85,0.88,0.72,0.58,0.14,0.12,0.28
18,Rust Belt Lullaby,Hound & Stone,blues,melancholic,0.33,72,0.41,0.44,0.88,0.06,0.38,0.19
